authority_name,url,tags
Aberdeen,https://publicaccess.aberdeencity.gov.uk/online-applications/search.do?action=advanced,scotland
Adur and Worthing,https://planning.adur-worthing.gov.uk/online-applications/search.do?action=advanced,england
Allerdale,https://planning.allerdale.gov.uk/portal/servlets/ApplicationSearchServlet,england
Amber Valley,https://www.ambervalley.gov.uk/environment-and-planning/planning/development-management/planning-applications/view-a-planning-application.aspx,england
Arun,https://www.arun.gov.uk/weekly-lists,england
Ashfield,https://www2.ashfield.gov.uk/cfusion/Planning/plan_findfile.cfm,england
Ashford,https://planning.ashford.gov.uk/,england
Aylesbury Vale,https://publicaccess.aylesburyvaledc.gov.uk/online-applications//search.do?action=advanced&searchType=Application,england
Babergh,https://planning.baberghmidsuffolk.gov.uk/online-applications/search.do?action=advanced,england
Barking and Dagenham,https://online-befirst.lbbd.gov.uk/planning/index.html?fa=search,london outerlondon northlondon england londonboroughs
Barnet,https://publicaccess.barnet.gov.uk/online-applications/search.do?action=advanced,londonboroughs london
Bedford,https://www.bedford.gov.uk/planning-and-building-control/planning-applications/search-plans,england
Bexley,https://pa.bexley.gov.uk/online-applications/search.do?action=advanced,londonboroughs london
Birmingham,https://eplanning.birmingham.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,england
Blackpool,https://idoxpa.blackpool.gov.uk/online-applications/search.do?action=advanced,england
Bolton,https://www.planningpa.bolton.gov.uk/online-applications-17/search.do?action=advanced,england greatermanchester
Bracknell Forest,https://planapp.bracknell-forest.gov.uk/online-applications/search.do?action=advanced,england
Bradford,https://planning.bradford.gov.uk/online-applications/search.do?action=advanced,england westyorkshire
Brent,https://pa.brent.gov.uk/online-applications/search.do?action=advanced&searchType=Application,londonboroughs london
Brighton and Hove,https://planningapps.brighton-hove.gov.uk/online-applications/search.do?action=advanced,england
Bristol,https://planningonline.bristol.gov.uk/online-applications/search.do?action=advanced,england
Bromley,https://searchapplications.bromley.gov.uk/online-applications/search.do?action=advanced,londonboroughs london
Bury,https://planning.bury.gov.uk/online-applications/search.do?action=advanced,england greatermanchester
Calderdale,https://portal.calderdale.gov.uk/online-applications/search.do?action=advanced,england westyorkshire
Camden,https://planningrecords.camden.gov.uk/Northgate/PlanningExplorer/GeneralSearch.aspx,londonboroughs london
Cardiff,https://planning.cardiff.gov.uk/online-applications/search.do?action=advanced,wales
Cheshire West and Chester,https://pa.cheshirewestandchester.gov.uk/online-applications/search.do?action=advanced,chester cheshire england
City of London,https://www.planning2.cityoflondon.gov.uk/online-applications/search.do?action=advanced,london innerlondon northlondon england
Croydon,https://publicaccess3.croydon.gov.uk/online-applications/search.do?action=advanced,londonboroughs london
Cornwall,https://planning.cornwall.gov.uk/online-applications/search.do?action=advanced,england
County Durham,https://publicaccess.durham.gov.uk/online-applications/search.do?action=advanced,england
Darlington,https://publicaccess.darlington.gov.uk/online-applications/search.do?action=advanced,england
Doncaster,https://planning.doncaster.gov.uk/online-applications/search.do?action=advanced,england southyorkshire
Ealing,https://pam.ealing.gov.uk/online-applications/search.do?action=advanced,londonboroughs london
East Riding of Yorkshire,https://newplanningaccess.eastriding.gov.uk/newplanningaccess/search.do?action=advanced,england
Edinburgh,https://citydev-portal.edinburgh.gov.uk/idoxpa-web/search.do?action=advanced,scotland
Enfield,https://planningandbuildingcontrol.enfield.gov.uk/online-applications/search.do?action=advanced,londonboroughs london
Epsom and Ewell,https://eplanning.epsom-ewell.gov.uk/online-applications/search.do?action=advanced,surrey england
Gateshead,https://public.gateshead.gov.uk/online-applications/search.do?action=advanced,england tyneandwear
Glasgow,https://publicaccess.glasgow.gov.uk/online-applications/search.do?action=advanced,scotland
Greenwich,https://planning.royalgreenwich.gov.uk/online-applications/search.do?action=advanced,london innerlondon southlondon england londonboroughs
Hackney,http://planning.hackney.gov.uk/Northgate/PlanningExplorer/generalsearch.aspx,londonboroughs london
Halton,https://webapp.halton.gov.uk/planningapps/,england cheshire liverpoolcityregion
Hammersmith and Fulham,https://public-access.lbhf.gov.uk/online-applications/search.do?action=advanced,london innerlondon northlondon england londonboroughs
Haringey,https://publicregister.haringey.gov.uk/pr/s/register-view,london londonboroughs
Harrow,https://myaccount.harrow.gov.uk/publicaccessliveHA/online-applications/search.do?action=advanced,london londonboroughs
Havering,https://development.havering.gov.uk/OcellaWeb/planningSearch,london londonboroughs eastlondon outerlondon
Hillingdon,https://planning.hillingdon.gov.uk/OcellaWeb/planningSearch,london londonboroughs westlondon outerlondon
Hounslow,https://planning.hounslow.gov.uk/online-applications/search.do?action=advanced,london londonboroughs
Hull,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=advanced,england
